Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Object Number,Description,Artifact Image URL,Authenticity
Plate and Nail,15th–16th century,European,Iron,Overall: 4 1/4 in. (10.8 cm),Metalwork-Iron,"55.61.103a, b","This artifact, named 'Plate and Nail', was crafted using Iron. It originates from the European culture. This piece dates back to 15th–16th century. It belongs to the category of Metalwork-Iron.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471664/968758/main-image,Authentic
Boss and Nail,15th–16th century,European,Iron,Overall: 1 7/8 in. (4.8 cm),Metalwork-Iron,"55.61.119a, b","This artifact, named 'Boss and Nail', was crafted using Iron. It originates from the European culture. This piece dates back to 15th–16th century. It belongs to the category of Metalwork-Iron.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471680/968792/main-image,Authentic
Saint Barbara,ca. 1500,North French,"Limestone, paint, gilt",Overall: 46 1/4 x 15 1/2 x 11 1/2 in. (117.5 x 39.4 x 29.2 cm),Sculpture,50.102.2,"This artifact, named 'Saint Barbara', was crafted using Limestone, paint, gilt. It originates from the North French culture. This piece dates back to ca. 1500. It belongs to the category of Sculpture.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471356/1710228/main-image,Authentic
Plate and Nail,15th–16th century,European,Iron,Overall: 3 1/2 in. (8.9 cm),Metalwork-Iron,"55.61.98a, b","This artifact, named 'Plate and Nail', was crafted using Iron. It originates from the European culture. This piece dates back to 15th–16th century. It belongs to the category of Metalwork-Iron.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471659/968748/main-image,Authentic
Straw,ca. 1230–50,German,Silver-gilt,Length: 8 1/2 in. (21.6 cm),Metalwork-Silver,47.101.29,"This artifact, named 'Straw', was crafted using Silver-gilt. It originates from the German culture. This piece dates back to ca. 1230–50. It belongs to the category of Metalwork-Silver.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/475517/1530342/main-image,Authentic
Fragment with Personifications of Victory and the Nile,6th century,Byzantine,Elephant ivory,Overall: 1 7/8 x 4 9/16 x 9/16 in. (4.7 x 11.6 x 1.4 cm),Ivories-Elephant,1971.49.1,"This is one of two fragments (see 1971.49.2) that may once have formed a single object celebrating the annual flooding of the Nile River. Holding a wreath, Nike (personification of victory) and the long-haired man Nilos (personification of the river) are surrounded by putti—small childlike figures that, in Egypt, symbolized the number of feet that the river rose each year, ushering in the season of growth and abundance.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/465955/1291933/main-image,Authentic
Ring Brooch,ca. 1340–49,German,"Gold, spinels, and sapphires",Overall: 7/8 x 3/16 in. (2.2 x 0.5 cm),Metalwork-Gold and Platinum,2006.257,"This brooch comes from a treasure unearthed in 1969 on a farm near Lingenfeld, in the Rhineland, about sixty miles north of Strasbourg. Set inside a terracotta vessel were silver objects, including a double cup and a letter-shaped jewel similar to ones in The Cloisters Collection (1983.125a, b; 1986.386), as well as gilded silver rings. The coins in the hoard date to the time of the Plague, which struck Europe with devastating ferocity in 1348. It is estimated that one third of the entire population of Europe died from the pandemic. Princes and paupers, Christians, Jews and Muslims all succumbed to the Plague. Compounding the horror, Jewish communities in the Rhineland were scapegoated and put to death by their Christian neighbors. Did this treasure, like other jewelry from this same period found in the region, belong to a Jewish citizen fleeing persecution, or was it buried for safekeeping by someone who fell victim to the Black Death?",https://collectionapi.metmuseum.org/api/collection/v1/iiif/477239/944136/main-image,Authentic
"Scenes from the Life of Christ: Arrest of Christ, Christ in Limbo; Descent from the Cross, Preparation of Christ’s Body for His Entombment",13th century,Spanish,Tempera on wood,Overall (a): 41 3/8 x 15 5/8 x 13/16 in. (105.1 x 39.7 x 2.1 cm)Overall (b): 41 1/2 x 16 3/8 x 13/16 in. (105.4 x 41.6 x 2.1 cm),Paintings-Panels,"55.62a, b","This artifact, named 'Scenes from the Life of Christ: Arrest of Christ, Christ in Limbo; Descent from the Cross, Preparation of Christ’s Body for His Entombment', was crafted using Tempera on wood. It originates from the Spanish culture. This piece dates back to 13th century. It belongs to the category of Paintings-Panels.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471722/1938103/main-image,Authentic
Plate,1430–1460,Spanish,Tin-glazed earthenware,Overall: 3 1/8 x 17 7/8 in. (8 x 45.4 cm),Ceramics,56.171.143,"Lusterware is the term used to describe a glazed earthenware ceramic decorated with an iridescent finish. The technique for creating this finish was developed in the ninth century under the rule of the Abbasid Caliphate in present-day Iraq. The medium involves a technique that is difficult to master, but if completed successfully, the surfaces of the ceramic objects display an iridescent sheen which is achieved through multiple firings and the application of a metal-based pigment (including silver, copper, tin, or a combination of these). Lusterware manufacture is still difficult to understand from a technical perspective because for generations, production was kept secret to protect workshop practices from being replicated by competitors. Therefore, pigment formulas and trade techniques were passed down from master to pupil and rarely recorded.Knowledge of the technique for creating lusterware made its way to the Iberian Peninsula by the twelfth century, when most of the region was still under Islamic rule. By the 1400s, the Iberian center of lusterware production was in Manises, near the city of Valencia. Previously a Muslim taifa, or principality, the Kingdom of Valencia was conquered in the thirteenth century by James I for the Crown of Aragon, and it was here that Christians and Muslim potters worked, sometimes together, for a diverse clientele with a voracious appetite for high quality lustered wares.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/468518/968919/main-image,Authentic
Pharmacy Jar,1420–30,Spanish,Tin-glazed earthenware,Overall: 12 1/2 in. (31.8 cm),Ceramics,56.171.147,"Lusterware is the term used to describe a glazed earthenware ceramic decorated with an iridescent finish. The technique for creating this finish was developed in the ninth century under the rule of the Abbasid Caliphate in present-day Iraq. The medium involves a technique that is difficult to master, but if completed successfully, the surfaces of the ceramic objects display an iridescent sheen which is achieved through multiple firings and the application of a metal-based pigment (including silver, copper, tin, or a combination of these). Lusterware manufacture is still difficult to understand from a technical perspective because for generations, production was kept secret to protect workshop practices from being replicated by competitors. Therefore, pigment formulas and trade techniques were passed down from master to pupil and rarely recorded.Knowledge of the technique for creating lusterware made its way to the Iberian Peninsula by the twelfth century, when most of the region was still under Islamic rule. By the 1400s, the Iberian center of lusterware production was in Manises, near the city of Valencia. Previously a Muslim taifa, or principality, the Kingdom of Valencia was conquered in the thirteenth century by James I for the Crown of Aragon, and it was here that Christians and Muslim potters worked, sometimes together, for a diverse clientele with a voracious appetite for high quality lustered wares.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/471800/965112/main-image,Authentic
